#genome	total_length	unique_name
G002865645	82388947	Hyaloscypha bicolor
G002866065	2841248	Thiopseudomonas denitrificans
G002866825	4666387	Halioglobus lutimaris
G002866925	5016566	Cohaesibacter celericrescens
G002868715	4061740	Kineobactrum sediminis
G002868735	6048860	Niveispirillum cyanobacteriorum
G002869745	4409994	Kandeliimicrobium roseum
G002869765	4316747	Deinococcus planocerae
G002870965	3276524	Altererythrobacter flavus
G002871005	5286468	Acidimangrovimonas sediminis
G002871095	1198172	Coxiella-like endosymbiont
G002871435	3100888	Brevibacterium luteolum
G002871945	2153938	Gleimia hominis
G002872075	3829300	Microbacterium kitamiense
G002872255	2583551	Lactobacillus nuruki
G002872415	3810309	Bacteriovorax stolpii
G002874535	4703554	Bacillus jeotgali
G002874775	2759678	Monoglobus pectinilyticus
G002879535	6589118	Mesorhizobium intechi
G002879615	4981437	Halomonas endophytica
G002879855	6098249	Trinickia soli
G002879865	8033259	Paraburkholderia rhynchosiae
G002879885	7095250	Burkholderia dabaoshanensis
G002884445	6305582	Paenibacillus castaneae
G002884495	3851193	Rummeliibacillus pycnus
G002885955	6945527	Achromobacter pulmonis
G002885975	5523603	Paucibacter aquatile
G002886045	5665358	Flavivirga eckloniae
G002886185	5511286	Salipaludibacillus neizhouensis
G002887595	5480674	Bowmanella denitrificans
G002887615	5989543	Vibrio jasicida
G002887735	4365829	Stenotrophomonas bentonitica
G002887775	2054389	Streptococcus penaeicida
G002891295	7931914	Streptomyces eurocidicus
G002892445	1596342	Megasphaera genomosp. type_2
G002893625	4432975	Mangrovicella endophytica
G002893965	6700073	Rhodococcus qingshengii
G002894645	3586591	Salinibacter altiplanensis
G002894665	3408000	Salinivenus iranica
G002895005	3049885	Hanstruepera neustonica
G002895085	1144224	Chlamydia abortus
G002895435	5838927	Aquimarina sediminis
G002895565	2129386	Petrotoga mexicana
G002895605	2108370	Petrotoga miotherma
G002895945	2847042	Lysobacter silvestris
G002896855	4731216	Pseudoclostridium thermosuccinogenes
G002896965	5969002	Novosphingobium guangzhouense
G002897135	6995801	Nostoc cycadae
G002897235	14455197	Babesia ovata
G002897375	4525286	Deinococcus aerius
G002899695	3368395	Rubneribacter badeniensis
G002899715	2827576	Enteroscipio rubneri
G002899875	5594431	Chryseobacterium lactis
G002899895	4795305	Chryseobacterium oncorhynchi
G002899945	5694962	Chryseobacterium viscerum
G002900365	4896331	Escherichia marmotae
G002900975	3870647	Tabrizicola aquatica
G002901445	4501021	Deinococcus koreensis
G002902145	2344342	Staphylococcus rostri
G002902305	2452828	Staphylococcus argensis
G002902925	10062549	Paraburkholderia terrae
G002902965	11527806	Paraburkholderia hospita
G002903165	4156281	Pseudomonas oceani
G002905795	6576440	Pseudomonas avellanae
G002906155	6686632	Pseudomonas laurylsulfativorans
G002906165	6057742	Labrenzia marina
G002906195	5739130	Raoultella planticola
G002906575	4973218	Salinigranum rubrum
G002906655	5612102	Vibrio hyugaensis
G002909235	5455478	Arenibacter catalasegens
G002909255	5432182	Arenibacter hampyeongensis
G002909375	4049030	Cryobacterium zongtaii
G002909445	4470393	Arthrobacter glacialis
G002910975	6647824	Pseudomonas hunanensis
G002911015	9592821	Streptomyces populi
G002911695	3150475	Gracilimonas amylolytica
G002914525	7271578	Rhizobium hidalgonense
G002915175	5464833	Agrobacterium rosae
G002915575	5681907	Superficieibacter electus
G002915595	4133373	Marortus luteolus
G002916695	3357443	Alkalispirochaeta sphaeroplastigenens
G002916935	1838748	Lactobacillus panisapium
G002917095	6949117	Paraburkholderia eburnea
G002917885	2947240	Flavobacterium croceum
G002917925	4461989	Roseovarius confluentis
G002920895	3823510	Flavobacterium alvei
G002920915	4518300	Solitalea longa
G002921145	2259996	Avibacterium endocarditidis
G002921285	4993411	Pectobacterium versatile
G002923025	4775134	Lelliottia aquatilis
G002924445	4905566	Minwuia thermotolerans
G002924615	2827976	Petrotoga halophila
G002925845	3920273	Roseovarius nitratireducens
G002926055	13314543	[Candida] haemuloni
G002926065	4233397	Jeotgalibacillus proteolyticus
G002926085	12580540	[Candida] duobushaemulonis
G002926165	7006489	Micromonospora chalcea
G002927045	3289908	Mycetohabitans endofungorum
G002927275	3638918	Arthrobacter pityocampae
G002927635	2998504	Albidovulum inexpectatum
G002929725	2413746	Cryobacterium mesophilum
G002930105	4344970	Halomonas saliphila
G002930125	1298227	Coxiella endosymbiont of Rhipicephalus microplus
G002930145	839125	Mesoplasma corruscae
G002930155	900077	Entomoplasma ellychniae
G002930195	1718520	Holospora curviuscula
G002930615	3643839	Zhizhongheella caldifontis
G002930635	6226493	Kaistia algarum
G002930645	4669508	Solimonas fluminis
G002933855	6414586	Vibrio penaeicida
G002933875	3705469	Desulfocucumis palustris
G002934005	4551978	Cuspidothrix issatschenkoi
G002934045	3612909	Vibrio gangliei
G002934065	5986236	Pseudomonas orientalis
G002934265	8433090	Actinokineospora auranticolor
G002934445	3277242	Nonlabens xylanidelens
G002934455	6715223	Trinickia symbiotica
G002934545	5629887	Bacteroides xylanolyticus
G002934605	5376018	Lewinella xylanilytica
G002934625	4618502	Kineococcus xinjiangensis
G002934665	6684884	Pseudomonas laurylsulfatiphila
G002934685	6489053	Pseudomonas bohemica
G002936955	3543469	Oceanisphaera arctica
G002936985	3682376	Microterricola pindariensis
G002937075	5095396	Rhodoblastus sphagnicola
G002937115	7253687	Rhodopila globiformis
G002938425	3897061	Blastococcus atacamensis
G002939785	5045490	Xanthomonas codiaei
G002939985	5059900	Xanthomonas cynarae
G002940015	4682409	Xanthomonas melonis
G002940065	4346293	Xanthomonas populi
G002940085	4919349	Xanthomonas sacchari
G002940605	4553421	Xanthomonas theicola
G002940745	3136323	Hanstruepera crassostreae
G002943415	1881990	Amnimonas aquatica
G002943425	6392975	Siphonobacter curvatus
G002943495	4472766	Ochrobactrum oryzae
G002943565	4924801	Marinicaulis flavus
G002943715	4282211	Polaribacter filamentus
G002943755	3074715	Aureitalea marina
G002946355	3822737	Pradoshia eiseniae
G002946735	4525363	Shigella boydii
G002946835	8710211	Streptomyces dengpaensis
G002950215	4938335	Shigella flexneri
G002950575	1760810	Pontimonas salivibrio
G002951835	2469862	Simonsiella muelleri
G002952055	2774417	Desulfobulbus oralis
G002952735	4826853	Lelliottia nimipressuralis
G002952775	3313120	Halalkaliarchaeum desulfuricum
G002953195	4527605	Mixta gaviniae
G002953215	4308453	Mixta calida
G002953395	5426174	Vibrio diabolicus
G002954225	3656009	Arthrobacter ruber
G002954245	4315219	Cryobacterium aureum
G002954265	5429724	Flavipsychrobacter stenotrophus
G002954325	3052937	Aureicoccus marinus
G002954355	3028693	Nonlabens tegetincola
G002954445	4167467	Rubritalea profundi
G002954455	4525655	Photobacterium aquimaris
G002954545	3635700	Psychrosphaera saromensis
G002954605	4085633	Polaribacter butkevichii
G002954645	2943081	Polaribacter gangjinensis
G002954665	4064622	Polaribacter glomeratus
G002954685	3904123	Polaribacter porphyrae
G002954715	4743377	Aliivibrio sifiae
G002954765	3323043	Nonlabens arenilitoris
G002954775	10198516	Streptomyces geranii
G002958735	3785629	Chromatium okenii
G002959775	2187386	Veillonella rogosae
G002959855	1982006	Veillonella denticariosi
G002959895	2021623	Veillonella infantium
G002959965	4272515	Microbulbifer pacificus
G002964605	5860259	Vallitalea okinawensis
G002964845	2262336	Thermus tenuipuniceus
G002964975	2757165	Apibacter adventoris
G002966105	7734801	Streptomyces xinghaiensis
G002967005	5148057	Mycobacterium talmoniae
G002967035	4851964	Mycolicibacter virginiensis
G002968015	7184362	Massilia phosphatilytica
G002968575	5728839	Neorhizobium huautlense
G002968635	5871065	Neorhizobium alkalisoli
G002968815	6618008	Neorhizobium tomejilense
G002973535	4108425	Defluviimonas denitrificans
G002973595	4111023	Jejuia pallidilutea
G002973605	3607471	Abditibacterium utsteinense
G002976435	5244577	Solimicrobium silvestre
G002976475	5878716	Pantoea coffeiphila
G002980495	5627768	Phyllobacterium phragmitis
G002980525	4695879	Sphingobacterium haloxyli
G002980575	4599360	Sphingobacterium gobiense
G002980595	3836188	Malikia granosa
G002980625	3780606	Malikia spinosa
G002982075	6508760	Labrys okinawensis
G002982115	4681723	Lysinibacillus sphaericus
G002982135	2312101	Pediococcus inopinatus
G002982315	3136866	Leucobacter massiliensis
G002993285	4006485	Gordonia iterans
G002993325	4324793	Alteromonas gracilis
G002993335	3281210	Bacillus urumqiensis
G002993365	5163814	Alteromonas alba
G002993885	4373131	Sphingopyxis lindanitolerans
G002993965	1543291	Lactobacillus timberlakei
G002993975	1462393	Lactobacillus micheneri
G002994005	1575414	Lactobacillus quenuiae
G002994045	3215942	Nonlabens agnitus
G002994635	10606512	Enhygromyxa salina
G002995495	8254103	Actinocorallia populi
G002995745	3507813	Clostridium vincentii
G002995755	2629808	Moorella humiferrea
G002995785	2877677	Clostridium liquoris
G002995805	3329793	Moorella stamsii
G002995845	3758058	Clostridium luticellarii
G002998295	1785891	Fastidiosipila sanguinis
G002998435	3361794	Bacteroides zoogleoformans
G002998535	3608975	Bacteroides heparinolyticus
G002998925	1815831	Mogibacterium diversum
G002999335	44378316	Cyclospora cayetanensis
G003001695	4376114	Muricauda pacifica
G003001795	6721336	Actinomadura viridilutea
G003001815	11154190	Actinoplanes italicus
G003001905	3588651	Planifilum fimeticola
G003001935	12182414	Nonomuraea fuscirosea
G003001955	6105833	Prauserella shujinwangii
G003002055	5611272	Kineococcus rhizosphaerae
G003002065	8655405	Pseudosporangium ferrugineum
G003002095	6973267	Allonocardiopsis opalescens
G003002115	9622647	Paraburkholderia insulsa
G003002815	10685670	Umezawaea tangerina
G003002825	6571461	Spirosoma oryzae
G003002875	4116849	Arcticibacter pallidicorallinus
G003002895	3574442	Knoellia remsis
G003002915	4870523	Geodermatophilus tzadiensis
G003002925	3687178	Halomonas songnenensis
G003002955	5788065	Glycomyces artemisiae
G003003005	5000672	Mongoliibacter ruber
G003003075	3850975	Isoptericola halotolerans
G003003095	2784685	Hasllibacter halocynthiae
G003003125	3393026	Laceyella sediminis
G003003175	3226076	Nesterenkonia sandarakina
G003003215	4678782	Epibacterium scottomollicae
G003003235	4683940	Antricoccus suffuscus
G003003255	5045383	Pseudoruegeria haliotis
G003003265	3729223	Glaciihabitans tibetensis
G003003275	2828113	Alkalibacterium olivapovliticus
G003003285	3677887	Yoonia maritima
G003003355	4688919	Donghicola tyrosinivorans
G003003615	6961660	filamentous cyanobacterium CCP2
G003003715	5608238	filamentous cyanobacterium Phorm 46
G003003725	6655197	filamentous cyanobacterium Phorm 6
G003003775	5209986	Merismopedia glauca
G003003795	6987331	Leptolyngbya frigida
G003003845	6104625	Chamaesiphon polymorphus
G003003925	3219202	Aphanothece minutissima
G003006155	4276240	Salinicola tamaricis
G003007675	4127326	Marinobacter fuscus
G003007685	3917796	Marinobacter halophilus
G003007715	4171810	Marinobacter shengliensis
G003007735	4233098	Methylarcula marina
G003007785	5445051	Aphanothece hegewaldii
G003008425	2916166	Mesoflavibacter aestuarii
G003008435	3111217	Mesoflavibacter sabulilitoris
G003008515	4494445	Phreatobacter cathodiphilus
G003008535	3901011	Ottowia oryzae
G003008595	4154488	Simplicispira suum
G003008695	2965221	Trichococcus alkaliphilus
G003010935	5512755	Phyllobacterium endophyticum
G003010955	5795714	Phyllobacterium brassicacearum
G003010965	6359359	Phyllobacterium sophorae
G003011125	2674960	Synechococcus lacustris
G003011885	2515695	Cyanobium usitatum
G003011895	6295486	Massilia glaciei
G003011965	8043461	Streptosporangium nondiastaticum
G003012055	2083169	Peptostreptococcus russellii
G003012745	6114553	Mesorhizobium ephedrae
G003012775	4169259	Zobellella endophytica
G003012795	3620921	Zobellella taiwanensis
G003012815	2507779	Sphingosinicella vermicomposti
G003012915	2479423	Staphylococcus felis
G003012935	4780668	Pannonibacter carbonis
G003013245	2614224	Neisseria iguanae
G003013395	6269962	Brevibacillus fortis
G003013475	6463880	Brevibacillus porteri
G003013695	3358427	Pulveribacter suum
G003013735	12591975	[Candida] pseudohaemulonis
G003014475	4733541	Shimia abyssi
G003014485	7377634	Murinocardiopsis flavida
G003014535	5841565	Taibaiella chishuiensis
G003014575	4748352	Cecembia rubra
G003014595	8502217	Chitinophaga ginsengisoli
G003014615	3654575	Marinobacterium halophilum
G003014655	3593650	Planomicrobium soli
G003014675	3838939	Labedella gwakjiensis
G003014695	8266724	Dyadobacter jiangsuensis
G003014715	3020056	Salsuginibacillus halophilus
G003014735	8918949	Saccharothrix carnea
G003014755	7327076	Chitinophaga niastensis
G003015165	4508901	Aeromonas rivipollensis
G003015185	6120955	Ahniella affigens
G003015205	1870257	Campylobacter blaseri
G003017785	5315212	filamentous cyanobacterium CCP5
G003017855	6870624	filamentous cyanobacterium CCT1
G003018975	6593542	filamentous cyanobacterium CCP4
G003019255	2639058	Staphylococcus kloosii
G003019275	2095131	Staphylococcus muscae
G003019315	2716766	Fusobacterium mortiferum
G003019695	1678881	Fusobacterium gonidiaformans
G003019875	28633538	Amorphotheca resinae
G003020585	4616268	Chryseobacterium aurantiacum
G003022385	5786244	filamentous cyanobacterium CCP3
G003024155	4380140	Gramella fulva
G003024195	10240328	Streptomyces dioscori
G003024235	2955119	Arenimonas caeni
G003024525	3711051	Acinetobacter cumulans
G003024595	4422782	Mesorhizobium plurifarium
G003024675	2527097	Faecalibacillus faecis
G003024685	2794725	Faecalibacillus intestinalis
G003024805	3270370	Duncaniella muris
G003024815	2931023	Paramuribaculum intestinale
G003025005	3884595	Brumimicrobium mesophilum
G003025095	40991268	Trichoderma harzianum
G003025105	37472970	Trichoderma asperellum
G003025115	33225801	Trichoderma citrinoviride
G003025555	5968087	Photobacterium lutimaris
G003025615	6449583	Photobacterium frigidiphilum
G003026215	5906673	Photobacterium indicum
G003026455	6355876	Photobacterium rosenbergii
G003026475	4944513	Photobacterium lipolyticum
G003028395	4733971	Pectobacterium punjabense
G003028575	3978672	Halomonas urumqiensis
G003028855	6337491	Massilia armeniaca
G003029735	4310971	Pedobacter yulinensis
G003030205	1925294	Campylobacter coli
G003030465	3711812	Thauera aromatica
G003034225	4496036	Sphingomonas fennica
G003034915	6882517	Mesorhizobium helmanticense
G003044065	3526597	Alkalicoccus saliphilus
G003044275	4119969	Rathayibacter caricis
G003044565	2782949	Neisseria sicca
G003045775	4816736	Halomonas litopenaei
G003046185	4881842	Phreatobacter oligotrophus
G003046295	3827562	Sphingomonas aerolata
G003046315	3793487	Desmospora activa
G003046475	4593117	Mycoplana dimorpha
G003046545	2910499	Rhodovulum imhoffii
G003046585	3443882	Nitrosomonas aestuarii
G003046625	4599441	Mangrovibacterium marinum
G003047065	2009973	Lactobacillus acidophilus
G003047265	4780355	Nocardioides terrigena
G003047285	3965709	Nocardioides allogilvus
G003047295	4284845	Nocardioides sediminis
G003048255	5164940	Yersinia massiliensis
G003049505	4377348	Lysinibacillus meyeri
G003049575	4754586	Lysinibacillus parviboronicapiens
G003049645	3600938	Metasolibacillus fluoroglycofenilyticus
G003049665	5315953	Lysinibacillus mangiferihumi
G003049725	3373956	Oceanimonas marisflavi
G003049785	4997541	Dickeya dadantii
G003050615	3874238	Sphingomonas oleivorans
G003050705	4411470	Sphingomonas aurantiaca
G003050755	5316091	Mucilaginibacter yixingensis
G003050785	4301407	Celeribacter persicus
G003050905	4416080	Rhodobacter azotoformans
G003051055	3742116	Agitococcus lubricus
G003051085	3103797	Trichococcus patagoniensis
G003051105	3421693	Nitrosomonas nitrosa
G003052265	3961673	Stenotrophobium rhamnosiphilum
G003052295	1935302	Trichococcus paludicola
G003052455	4390185	Sphaerisporangium cinnabarinum
G003052605	5202491	Pseudomonas indoloxydans
G003053425	5858705	Achromobacter mucicolens
G003053725	4459411	Rhodovulum kholense
G003053745	4384198	Sphingomonas faeni
G003053845	5331989	Breoghania corrubedonensis
G003054045	5297214	Sphingobacterium faecium
G003054055	5232390	Pontibacter mucosus
G003054175	4847048	Roseivivax pacificus
G003054225	3643429	Gramella gaetbulicola
G003054245	3770224	Melghirimyces profundicolus
G003054265	4726316	Kordia periserrulae
G003054285	3885523	Litoreibacter ponti
G003054325	4100536	Sulfitobacter mediterraneus
G003054445	10812635	Pichia kudriavzevii
G003054475	5386632	Nodularia spumigena
G003054495	2743145	Carboxydocella thermautotrophica
G003054555	8570231	Streptomyces lunaelactis
G003055625	3464207	Flavobacterium magnum
G003056305	3758567	Halomonas denitrificans
G003056335	3506579	Paracoccus indicus
G003056345	3981259	Devosia submarina
G003056405	3955300	Devosia indica
G003056725	5972529	Mangrovicoccus ximenensis
G003057615	2841618	Metalysinibacillus jejuensis
G003057875	4534236	Nocardioides currus
G003057965	1774794	Thermodesulfobium acidiphilum
G003058325	7745215	Methylobacterium currus
G003058365	2723120	Haloarculaceae archaeon HArcel1
G003062295	8914682	Bradyrhizobium algeriense
G003063245	2416324	Pseudoarcobacter caeni
G003063455	2972730	Limnohabitans parvus
G003063475	3029962	Limnohabitans curvus
G003065365	1995529	Polynucleobacter difficilis
G003065385	1851737	Polynucleobacter acidiphobus
G003071345	6146260	Chitinophaga parva
G003071405	3706115	Rhodobacter blasticus
G003072065	3437188	Thalassorhabdomicrobium marinisediminis
G003072125	3983587	Pelagivirga sediminicola
G003072505	3157913	Polynucleobacter rarus
G003072585	3244683	Acinetobacter schindleri
G003073115	6482300	Acuticoccus kandeliae
G003073135	5510097	Euzebya rosea
G003073175	4064963	Bacillus acanthi
G003074055	7641029	Streptomyces nigra
G003074135	4780278	Euzebya tangerina
G003075035	3937461	Zobellella maritima
G003075045	4565215	Maribacter litoralis
G003075095	4633582	Blastococcus litoris
G003075525	5080562	Pararhodobacter aggregans
G003076135	4766971	Nocardioides gansuensis
G003076455	4621116	Flavobacterium faecale
G003076475	4224053	Flavobacterium kingsejongi
G003094615	5571365	Caulobacter radicis
G003096015	3841771	Limnobaculum parvum
G003096035	3983546	Flavobacterium album
G003096075	3911902	Dietzia lutea
G003096095	3904856	Dietzia psychralcaliphila
G003096175	5695241	Clostridium drakei
G003096195	4175033	Ereboglobus luteus
G003096215	4016170	Bacillus thermoamylovorans
G003096275	4224305	Sphingomonas pokkalii
G003096355	4885697	Pontibacter virosus
G003096395	6841988	Pseudomonas kilonensis
G003096415	5201636	Victivallis vadensis
G003096535	2810503	Agathobaculum butyriciproducens
G003096575	1600499	Convivina intestini
G003096615	6752664	Methylobacterium organophilum
G003096635	1806428	[Bacteroides] coagulans
G003096655	3400574	Tamilnaduibacter salinus
G003096675	5972642	Actinomycetospora cinnamomea
G003096695	2276051	Porphyromonas loveana
G003096815	2937880	Prevotella colorans
G003096835	2089723	Balneicella halophila
G003096875	10198135	Paraburkholderia unamae
G003096955	5570151	Williamsia marianensis
G003096995	1990253	Pasteurella langaaensis
G003097175	2815769	Clostridium thermopalmarium
G003097315	4986120	Pelagibaculum spongiae
G003097515	7289495	Streptomyces tirandamycinicus
G003097535	3552756	Flavobacterium pallidum
G003097575	2067974	Helicobacter apodemus
G003097615	3756158	Pueribacillus theae
G003100395	4256328	Aquabacterium olei
G003101015	2263191	Actinobacillus porcitonsillarum
G003104955	7938708	Steroidobacter cummioxidans
G003111605	1543370	Methanobrevibacter woesei
G003111625	2243955	Methanobrevibacter thaueri
G003111665	4886933	Azoarcus communis
G003111685	5166088	Yangia pacifica
G003112435	3689375	Novimethylophilus kurashikiensis
G003112455	8704231	Paenibacillus agaridevorans
G003112515	6848350	Streptomyces fragilis
G003112535	9181216	Streptomyces rishiriensis
G003112555	8728096	Streptomyces coelicoflavus
G003112575	7852167	Streptomyces diastaticus
G003112595	8454777	Streptomyces rubrogriseus
G003112615	1426182	Lactobacillus kosoi
G003112675	4064372	Leptospira johnsonii
G003112755	4282276	Lawsonibacter asaccharolyticus
G003112775	5745547	Mycobacterium montefiorense
G003113265	3786925	Methylosinus sporium
G003113895	8198900	Nostoc commune
G003114815	4194098	Leptospira ellinghausenii
G003114835	4295266	Leptospira kobayashii
G003114855	3951855	Leptospira ryugenii
G003115845	4509027	Brenneria roseae
G003116135	5197949	Roseomonas aestuarii
G003116585	5483733	Ruegeria kandeliae
G003116835	1735201	Lactococcus termiticola
G003116855	1997954	Desulfurococcaceae archaeon AG1
G003121295	7503068	Streptomyces orinoci
G003121585	5707724	Nocardioides speluncae
G003121625	4559492	Ornithinimicrobium cavernae
G003121845	2446687	Ignatzschineria ureiclastica
G003121895	2491089	Ignatzschineria cameli
G003121925	2504388	Ignatzschineria indica
G003122325	6869932	Rhizobium album
G003122365	7180417	Streptomyces spongiicola
G003122385	5877431	Flavobacterium crocinum
G003123725	3552963	Corticimicrobacter populi
G003123745	2651877	Ancrocorticia populi
G003124125	1967054	Lactobacillus bambusae
G003129465	3026420	Sphingosinicella humi
G003129605	2791562	Hyphobacterium indicum
G003129905	3122685	Bifidobacterium callitrichidarum
G003129925	2613324	Bifidobacterium catulorum
G003130255	2457270	Aggregatibacter kilianii
G003130405	6317854	Pararcticibacter amylolyticus
G003130585	3553667	Brachybacterium endophyticum
G003131185	6447172	Pseudomonas ovata
G003131205	6278915	Occallatibacter savannae
G003143515	5844653	Massilia oculi
G003143535	3116291	Allopseudarcicella aquatilis
G003143555	3214946	Saliniradius amylolyticus
G003143695	1881016	Streptococcus halitosis
G003143975	3498225	Kurthia sibirica
G003143995	2092639	Pseudoglutamicibacter cumminsii
G003144115	18762681	Tilletiopsis washingtonensis
G003144135	17184862	Pseudomicrostroma glucosiphilum
G003144195	24153100	Ceraceosorus guamensis
G003144205	17384135	Meira miltonrushii
G003144245	16615986	Jaminaea rosea
G003144295	19330651	Acaromyces ingoldii
G003144315	2876415	Acidibacillus sulfuroxidans
G003144325	4098882	Proteus terrae
G003144335	3886210	Proteus genomosp. 5
G003144375	4247912	Proteus genomosp. 4
G003144505	4039136	Proteus genomosp. 6
G003147545	7666561	Streptomyces globisporus
G003148385	3441304	Flavobacterium sediminis
G003148465	2793911	Oceanotoga teriensis
G003148475	4837637	Pseudaminobacter salicylatoxidans
G003148565	4690998	Tumebacillus permanentifrigoris
G003148585	3243786	Psychrobacter immobilis
G003148625	5934491	Arcicella aurantiaca
G003148645	3155894	Formosa spongicola
G003148665	5130542	Maribacter polysiphoniae
G003148685	10799114	Actinoplanes xinjiangensis
G003148745	4040502	Pleionea mediterranea
G003148775	4030904	Roseicyclus mahoneyensis
G003148845	5940002	Mucilaginibacter oryzae
G003148865	9530373	Lechevalieria deserti
G003148905	3769290	Fulvimonas soli
G003149085	5762942	Dyadobacter jejuensis
G003149145	4886113	Quadrisphaera granulorum
G003149185	6604736	Sediminitomix flava
G003149195	4008735	Branchiibius hedensis
G003149245	5718277	Faecalicatena orotica
G003149265	4843678	Jannaschia seohaensis
G003149475	3582067	Oceaniradius stylonematis
G003149515	5027597	Hymenobacter nivis
G003149745	3614792	Flagellimonas aquimarina
G003150935	1683102	Lactobacillus apis
G003151135	3742513	Abyssibacter profundi
G003160695	4511121	Nocardioides silvaticus
G003171655	3851305	Sphingosinithalassobacter portus
G003171675	5259740	Reichenbachiella versicolor
G003172875	5025704	Leucothrix pacifica
G003172895	4753464	Leucothrix arctica
G003173015	3052043	Deinococcus irradiatisoli
G003173055	4757859	Zavarzinia compransoris
G003173335	3742502	Methanospirillum stamsii
G003173355	3744181	Methanospirillum lacunae
G003173575	5018789	Pedobacter paludis
G003173595	4372697	Pedobacter yonginense
G003173695	1867252	Lactobacillus helsingborgensis
G003173715	6788375	Methylobacterium durans
G003173755	6162702	Methylobacterium terrae
G003176895	4187255	Gracilibacillus dipsosauri
G003177055	6810904	Sinorhizobium fredii
G003182095	4296805	Plasticicumulans acidivorans
G003182135	7323633	Nocardia neocaledoniensis
G003182255	6963665	Paenibacillus cellulosilyticus
G003182275	5262365	Hoeflea marina
G003182375	2948845	Melaminivora alkalimesophila
G003182415	7547103	Actinokineospora mzabensis
G003182475	5354090	Mangrovibacter plantisponsor
G003182485	4621196	Geodermatophilus normandii
G003182595	2719086	Prosthecochloris marina
G003184525	36723105	Aspergillus sclerotioniger
G003184535	34795012	Aspergillus eucalypticola
G003184545	35611647	Aspergillus heteromorphus
G003184585	31098569	Aspergillus saccharolyticus
G003184625	35419804	Aspergillus neoniger
G003184695	37480240	Aspergillus brunneoviolaceus
G003184745	35854123	Aspergillus uvarum
G003184755	35281251	Aspergillus piperis
G003184765	36474049	Aspergillus aculeatinus
G003184785	36103194	Aspergillus japonicus
G003184835	36949618	Aspergillus costaricensis
G003184845	33440283	Aspergillus ibericus
G003184865	34057886	Aspergillus homomorphus
G003184925	35664554	Aspergillus vadensis
G003185915	4050420	Arthrobacter psychrochitiniphilus
G003194385	5795496	Pokkaliibacter plantistimulans
G003194565	2828179	Kangiella spongicola
G003194585	4402453	Nocardioides daejeonensis
G003194605	3334773	Nocardioides gilvus
G003194625	3583877	Nocardioides solisilvae
G003201205	4401830	Sinimarinibacterium flocculans
G003201285	4865629	Lachnotalea glycerini
G003201335	7084152	Paenibacillus taichungensis
G003201355	5122143	Dysgonomonas alginatilytica
G003201475	7255391	Chelatococcus asaccharovorans
G003201595	4430170	Sphaerotilus hippei
G003201605	2530044	Streptohalobacillus salinus
G003201675	2544115	Metallosphaera hakonensis
G003201765	2265309	Acidianus sulfidivorans
G003201815	6407985	Undibacterium pigrum
G003201835	2947244	Acidianus brierleyi
G003201855	3710323	Rivicola pingtungensis
G003201875	6864295	Hungatella effluvii
G003201955	4046905	Blastomonas natatoria
G003201975	4780730	Pseudogracilibacillus auburnensis
G003202155	5618203	Marinifilum breve
G003202165	4995196	Halomonas heilongjiangensis
G003205195	4934592	Rhizobium wuzhouense
G003205575	7464530	Streptomyces tateyamensis
G003205615	7303276	Micromonospora arborensis
G003205875	6143505	Herpetosiphon llansteffanensis
G003206045	4415917	Salinicola lusitanus
G003206135	3884447	Salinicola salarius
G003206155	3615368	Salinicola halophilus
G003206475	3640532	Komagataeibacter maltaceti
G003206495	3607204	Gluconacetobacter entanii
G003206615	4373200	Salinicola acroporae
G003206715	4625576	Salinicola peritrichatus
G003207865	3365562	Komagataeibacter sucrofermentans
G003207895	3735222	Komagataeibacter swingsii
G003207955	3452110	Komagataeibacter pomaceti
G003208035	8145579	Streptomyces actuosus
G003208175	4402531	Ruminiclostridium sufflavum
G003208215	3969978	Marinomonas alcarazii
G003208435	4927785	Pelagimonas varians
G003208655	5717391	Pedobacter nutrimenti
G003208675	3907533	Georgenia satyanarayanai
G003209395	3111650	Corynebacterium provencense
G003217155	3500304	Psychrobacter fozii
G003217175	4443038	Shewanella chilikensis
G003217215	3379854	Winogradskyella epiphytica
G003217235	3738638	Phyllobacterium leguminum
G003217255	3444813	Pseudoroseicyclus aestuarii
G003217295	3879582	Lysinibacillus chungkukjangi
G003217325	4069831	Rhodopseudomonas faecalis
G003217355	3869445	Rhodobacter viridis
G003217475	6354514	Williamsia limnetica
G003217495	6262536	Paenibacillus barcinonensis
G003217515	4739702	Deinococcus yavapaiensis
G003217575	3732805	Xylophilus ampelinus
G003217775	7244817	Paenibacillus flagellatus
G003219795	3872266	Arthrobacter psychrolactophilus
G003219815	5044914	Arthrobacter livingstonensis
G003226255	2863637	Idiomarina fontislapidosi
G003226325	4150706	Salipaludibacillus keqinensis
G003226345	4048063	Bacillus lacisalsi
G003226595	4533819	Modestobacter versicolor
G003231285	5484712	Hymenobacter sediminis
G003231305	6051941	Pseudomonas sichuanensis
G003233695	4018049	Lysobacter maris
G003234965	4231775	Aestuariivirga litoralis
G003236175	5387772	Taibaiella soli
G003236295	7011073	Jiangella anatolica
G003236315	7318787	Micromonospora craterilacus
G003236335	6732567	Micromonospora deserti
G003236385	8068227	Desertiactinospora gelatinilytica
G003240565	5901972	Rhizobium tumorigenes
G003240585	6542192	Rhizobium tubonense
G003245365	2184071	Helicobacter valdiviensis
G003248275	6799768	Paenibacillus silvae
