#genome	domain	phylum	class	order	family	genus	species	total_length	unique_name
G000005825	Bacteria	 Firmicutes	 Bacilli	 Bacillales_H	 Bacillaceae_D	 Bacillus_S	 Bacillus_S pseudofirmus	4249288	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Bacillus_S; s__Bacillus_S pseudofirmus
G001772955	Bacteria	 Patescibacteria	 WWE3	 9FT-COMBO-53-11	 9FT-COMBO-53-11	 9FT-COMBO-53-11	 	533088	d__Bacteria; p__Patescibacteria; c__WWE3; o__9FT-COMBO-53-11; f__9FT-COMBO-53-11; g__9FT-COMBO-53-11; s__
G001772985	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 MEVN01	 MEVN01 sp001772985	730600	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__MEVN01; s__MEVN01 sp001772985
G001773015	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 OXYB2-FULL-41-6	 OXYB2-FULL-41-6 sp001773215	897158	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215
G001773035	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 UBA8498	 UBA8498 sp000996895	694166	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp000996895
G001773055	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 OXYB2-FULL-41-6	 OXYB2-FULL-41-6 sp001773215	953462	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215
G001773065	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 OXYB2-FULL-41-6	 OXYB2-FULL-41-6 sp001773215	897158	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215
G001773115	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 UBA8498	 	729848	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__
G001773145	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 OXYB2-FULL-41-6	 OXYB2-FULL-41-6 sp001773215	919092	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215
G001773175	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 UBA8498	 UBA8498 sp001773255	768837	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp001773255
G001773225	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 OXYB2-FULL-41-6	 OXYB2-FULL-41-6 sp001773215	904091	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215
G001773275	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 UBA8498	 UBA8498 sp000996895	703677	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp000996895
G001773295	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 OXYD1-FULL-39-9	 OXYD1-FULL-39-9 sp001773295	1089864	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYD1-FULL-39-9; s__OXYD1-FULL-39-9 sp001773295
G001773375	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 OXYB2-FULL-41-6	 OXYB2-FULL-41-6 sp001773215	892369	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__OXYB2-FULL-41-6; s__OXYB2-FULL-41-6 sp001773215
G001773385	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 UBA8498	 UBA8498 sp001773385	864361	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp001773385
G001773395	Bacteria	 Patescibacteria	 WWE3	 UBA101185	 UBA10185	 UBA8498	 UBA8498 sp001773255	783737	d__Bacteria; p__Patescibacteria; c__WWE3; o__UBA101185; f__UBA10185; g__UBA8498; s__UBA8498 sp001773255
G001773425	Bacteria	 Zixibacteria	 MSB-5A5	 MSB-5A5	 RBG-1	 RBG-1	 	1441723	d__Bacteria; p__Zixibacteria; c__MSB-5A5; o__MSB-5A5; f__RBG-1; g__RBG-1; s__
G001773455	Bacteria	 Patescibacteria	 Gracilibacteria	 RBG-16-42-10	 RBG-16-42-10	 RBG-16-42-10	 RBG-16-42-10 sp001773455	1096135	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__RBG-16-42-10; f__RBG-16-42-10; g__RBG-16-42-10; s__RBG-16-42-10 sp001773455
G001773465	Bacteria	 Zixibacteria	 MSB-5A5	 MSB-5A5	 RBG-1	 RBG-1	 	1381127	d__Bacteria; p__Zixibacteria; c__MSB-5A5; o__MSB-5A5; f__RBG-1; g__RBG-1; s__
G001773575	Bacteria	 Patescibacteria	 Paceibacteria	 UBA9983_A	 SBAW01	 GWA1-54-10	 GWA1-54-10 sp001773575	630672	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__SBAW01; g__GWA1-54-10; s__GWA1-54-10 sp001773575
G001773585	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 UBA12042	 UBA12042 sp001775555	687174	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555
G001773615	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 WO2-48-25	 WO2-48-25 sp001773695	955178	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__WO2-48-25; s__WO2-48-25 sp001773695
G001773645	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 UBA12042	 UBA12042 sp001775555	962052	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555
G001773655	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 GWC1-47-15	 	917471	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__GWC1-47-15; s__
G001773695	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 WO2-48-25	 WO2-48-25 sp001773695	939029	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__WO2-48-25; s__WO2-48-25 sp001773695
G001773715	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 UBA12042	 UBA12042 sp001775555	778093	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555
G001773725	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 01-FULL-48-32b	 01-FULL-48-32b sp001773725	958798	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__01-FULL-48-32b; s__01-FULL-48-32b sp001773725
G001773735	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 UBA12042	 UBA12042 sp001775555	953440	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555
G001773775	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 XYB1-FULL-44-23	 XYB1-FULL-44-23 sp001773775	1116184	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__XYB1-FULL-44-23; s__XYB1-FULL-44-23 sp001773775
G001773795	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 UBA12042	 UBA12042 sp001002325	992607	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001002325
G001773815	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 UBA12042	 	841934	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__
G001773915	Bacteria	 Acidobacteriota	 Aminicenantia	 Aminicenantales	 	 	 	3579790	d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__; g__; s__
G001773925	Bacteria	 Acidobacteriota	 Aminicenantia	 Aminicenantales	 	 	 	980175	d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__; g__; s__
G001773975	Bacteria	 Patescibacteria	 Paceibacteria	 GWC2-36-17	 WO2-46-25	 MEYI01	 MEYI01 sp001773975	677000	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__GWC2-36-17; f__WO2-46-25; g__MEYI01; s__MEYI01 sp001773975
G001774005	Bacteria	 Patescibacteria	 Paceibacteria	 UBA10092	 UBA10092	 2-02-FULL-45-18	 2-02-FULL-45-18 sp001774075	655007	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__2-02-FULL-45-18; s__2-02-FULL-45-18 sp001774075
G001774035	Bacteria	 Patescibacteria	 Paceibacteria	 GWC2-36-17	 WO2-46-25	 WO2-46-25	 WO2-46-25 sp001775835	909805	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__GWC2-36-17; f__WO2-46-25; g__WO2-46-25; s__WO2-46-25 sp001775835
G001774055	Bacteria	 Patescibacteria	 Paceibacteria	 UBA10092	 UBA10092	 2-02-FULL-45-18	 2-02-FULL-45-18 sp001774075	683034	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__2-02-FULL-45-18; s__2-02-FULL-45-18 sp001774075
G001774075	Bacteria	 Patescibacteria	 Paceibacteria	 UBA10092	 UBA10092	 2-02-FULL-45-18	 2-02-FULL-45-18 sp001774075	597716	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__2-02-FULL-45-18; s__2-02-FULL-45-18 sp001774075
G001774085	Bacteria	 Patescibacteria	 Paceibacteria	 GWC2-36-17	 WO2-46-25	 WO2-46-25	 WO2-46-25 sp001775835	944083	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__GWC2-36-17; f__WO2-46-25; g__WO2-46-25; s__WO2-46-25 sp001775835
G001774135	Bacteria	 Patescibacteria	 Paceibacteria	 UBA10092	 UBA10092	 2-02-FULL-45-18	 2-02-FULL-45-18 sp001774075	774294	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__2-02-FULL-45-18; s__2-02-FULL-45-18 sp001774075
G001774165	Bacteria	 Patescibacteria	 Paceibacteria	 UBA10092	 UBA10092	 UBA10092	 UBA10092 sp003455995	585024	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__UBA10092; s__UBA10092 sp003455995
G001774195	Bacteria	 Patescibacteria	 Paceibacteria	 UBA10092	 UBA10092	 GWA1-42-19	 GWA1-42-19 sp000994805	546881	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__GWA1-42-19; s__GWA1-42-19 sp000994805
G001774245	Archaea	 Thermoproteota	 Bathyarchaeia	 TCS64	 TCS64	 UBA8941	 UBA8941 sp001774245	2083885	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64; f__TCS64; g__UBA8941; s__UBA8941 sp001774245
G001774275	Bacteria	 Patescibacteria	 Microgenomatia	 UBA1400	 CG1-02-47-37	 GWC1-49-16	 GWC1-49-16 sp001029675	1030371	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__CG1-02-47-37; g__GWC1-49-16; s__GWC1-49-16 sp001029675
G001774295	Bacteria	 Patescibacteria	 Microgenomatia	 UBA1400	 CG1-02-47-37	 GWC1-49-16	 GWC1-49-16 sp001029675	1031720	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__CG1-02-47-37; g__GWC1-49-16; s__GWC1-49-16 sp001029675
G001774335	Bacteria	 Patescibacteria	 Microgenomatia	 UBA1400	 CG1-02-47-37	 GWC1-49-16	 GWC1-49-16 sp001029675	1060158	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__CG1-02-47-37; g__GWC1-49-16; s__GWC1-49-16 sp001029675
G001774375	Bacteria	 Patescibacteria	 UBA1384	 UBA12157	 UBA12157	 GWE1-39-12	 	840597	d__Bacteria; p__Patescibacteria; c__UBA1384; o__UBA12157; f__UBA12157; g__GWE1-39-12; s__
G001774395	Bacteria	 Patescibacteria	 UBA1384	 2-12-FULL-50-11	 2-12-FULL-50-11	 2-12-FULL-50-11	 2-12-FULL-50-11 sp001774395	850066	d__Bacteria; p__Patescibacteria; c__UBA1384; o__2-12-FULL-50-11; f__2-12-FULL-50-11; g__2-12-FULL-50-11; s__2-12-FULL-50-11 sp001774395
G001774495	Bacteria	 Patescibacteria	 Paceibacteria	 UBA9983_A	 UBA12079	 UBA12079	 UBA12079 sp001774495	782656	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__UBA12079; g__UBA12079; s__UBA12079 sp001774495
G001774505	Bacteria	 RBG-13-66-14	 RBG-13-66-14	 RBG-13-66-14	 RBG-13-66-14	 RBG-13-66-14	 RBG-13-66-14 sp001774505	2068107	d__Bacteria; p__RBG-13-66-14; c__RBG-13-66-14; o__RBG-13-66-14; f__RBG-13-66-14; g__RBG-13-66-14; s__RBG-13-66-14 sp001774505
G001774535	Bacteria	 Patescibacteria	 Microgenomatia	 UBA1400	 MFAQ01	 2-01-FULL-50-23	 2-01-FULL-50-23 sp001774555	730179	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__MFAQ01; g__2-01-FULL-50-23; s__2-01-FULL-50-23 sp001774555
G001774555	Bacteria	 Patescibacteria	 Microgenomatia	 UBA1400	 MFAQ01	 2-01-FULL-50-23	 2-01-FULL-50-23 sp001774555	750735	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__MFAQ01; g__2-01-FULL-50-23; s__2-01-FULL-50-23 sp001774555
G001774615	Bacteria	 Patescibacteria	 Microgenomatia	 UBA1400	 Chazhemtobacteraceae	 Chazhemtobacterium	 	820595	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__Chazhemtobacteraceae; g__Chazhemtobacterium; s__
G001774705	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 	 	775556	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__; s__
G001774845	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 2-12-FULL-41-17	 	600620	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__2-12-FULL-41-17; s__
G001774865	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 MFBF01	 MFBF01 sp001774865	770546	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__MFBF01; s__MFBF01 sp001774865
G001774895	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 GWA2-41-24	 	695228	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__GWA2-41-24; s__
G001774945	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 2-12-FULL-41-17	 2-12-FULL-41-17 sp001774945	837201	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__2-12-FULL-41-17; s__2-12-FULL-41-17 sp001774945
G001774975	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 WO2-42-50	 WO2-42-50 sp001776545	990171	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__WO2-42-50; s__WO2-42-50 sp001776545
G001774995	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 MFBO01	 MFBO01 sp001774995	536750	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__MFBO01; s__MFBO01 sp001774995
G001775055	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 GWA2-41-24	 GWA2-41-24 sp001775055	1079002	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__GWA2-41-24; s__GWA2-41-24 sp001775055
G001775085	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 WO2-FULL-40-11	 WO2-FULL-40-11 sp001776505	945177	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__WO2-FULL-40-11; s__WO2-FULL-40-11 sp001776505
G001775095	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 GWC1-40-35	 GWC1-40-35 sp001775095	1148856	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__GWC1-40-35; s__GWC1-40-35 sp001775095
G001775155	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 GWC1-40-35	 GWC1-40-35 sp001775095	802105	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__GWC1-40-35; s__GWC1-40-35 sp001775095
G001775245	Bacteria	 Desulfobacterota_D	 UBA1144	 UBA2774	 CSP1-2	 CSP1-2	 	1156115	d__Bacteria; p__Desulfobacterota_D; c__UBA1144; o__UBA2774; f__CSP1-2; g__CSP1-2; s__
G001775325	Bacteria	 Patescibacteria	 Microgenomatia	 Daviesbacterales	 UBA10151	 GWB1-36-5	 GWB1-36-5 sp001776785	796194	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Daviesbacterales; f__UBA10151; g__GWB1-36-5; s__GWB1-36-5 sp001776785
G001775355	Bacteria	 Zixibacteria	 MSB-5A5	 MSB-5A5	 RBG-16-43-9	 RBG-16-43-9	 RBG-16-43-9 sp001775355	1954454	d__Bacteria; p__Zixibacteria; c__MSB-5A5; o__MSB-5A5; f__RBG-16-43-9; g__RBG-16-43-9; s__RBG-16-43-9 sp001775355
G001775365	Bacteria	 Zixibacteria	 MSB-5A5	 MSB-5A5	 RBG-1	 RBG-1	 	1894339	d__Bacteria; p__Zixibacteria; c__MSB-5A5; o__MSB-5A5; f__RBG-1; g__RBG-1; s__
G001775405	Bacteria	 Zixibacteria	 MSB-5A5	 MSB-5A5	 RBG-1	 RBG-1	 RBG-1 sp000447245	1994488	d__Bacteria; p__Zixibacteria; c__MSB-5A5; o__MSB-5A5; f__RBG-1; g__RBG-1; s__RBG-1 sp000447245
G001775435	Bacteria	 Patescibacteria	 Paceibacteria	 UBA9983_A	 SBAW01	 GWA1-54-10	 	518268	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__SBAW01; g__GWA1-54-10; s__
G001775445	Bacteria	 Patescibacteria	 Paceibacteria	 UBA9983_A	 SBAW01	 GWA1-54-10	 GWA1-54-10 sp001775445	501211	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__SBAW01; g__GWA1-54-10; s__GWA1-54-10 sp001775445
G001775475	Bacteria	 Patescibacteria	 Paceibacteria	 UBA9983_A	 SBAW01	 GWA1-54-10	 GWA1-54-10 sp001775475	540339	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__SBAW01; g__GWA1-54-10; s__GWA1-54-10 sp001775475
G001775565	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 GWC1-47-15	 	850083	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__GWC1-47-15; s__
G001775605	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 01-FULL-48-32b	 01-FULL-48-32b sp001773725	942557	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__01-FULL-48-32b; s__01-FULL-48-32b sp001773725
G001775635	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 UBA12042	 UBA12042 sp001775555	859409	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555
G001775645	Bacteria	 Patescibacteria	 Microgenomatia	 GWA2-44-7	 Amesbacteraceae	 UBA12042	 UBA12042 sp001775555	824567	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__GWA2-44-7; f__Amesbacteraceae; g__UBA12042; s__UBA12042 sp001775555
G001775695	Bacteria	 Acidobacteriota	 Aminicenantia	 Aminicenantales	 	 	 	2044235	d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__; g__; s__
G001775775	Bacteria	 Atribacterota	 JS1	 SB-45	 34-128	 34-128	 	1936907	d__Bacteria; p__Atribacterota; c__JS1; o__SB-45; f__34-128; g__34-128; s__
G001775785	Bacteria	 Patescibacteria	 Paceibacteria	 UBA10092	 UBA10092	 GWA1-42-19	 	581310	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__GWA1-42-19; s__
G001775835	Bacteria	 Patescibacteria	 Paceibacteria	 GWC2-36-17	 WO2-46-25	 WO2-46-25	 WO2-46-25 sp001775835	923680	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__GWC2-36-17; f__WO2-46-25; g__WO2-46-25; s__WO2-46-25 sp001775835
G001775935	Bacteria	 Patescibacteria	 Paceibacteria	 UBA10092	 UBA10092	 2-02-FULL-45-18	 2-02-FULL-45-18 sp001774075	652991	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA10092; f__UBA10092; g__2-02-FULL-45-18; s__2-02-FULL-45-18 sp001774075
G001775955	Archaea	 Thermoproteota	 Bathyarchaeia	 40CM-2-53-6	 RBG-13-38-9	 RBG-13-38-9	 RBG-13-38-9 sp001775955	1725051	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__40CM-2-53-6; f__RBG-13-38-9; g__RBG-13-38-9; s__RBG-13-38-9 sp001775955
G001775965	Archaea	 Thermoproteota	 Bathyarchaeia	 TCS64	 TCS64	 RBG-16-57-9	 RBG-16-57-9 sp001775965	1217394	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64; f__TCS64; g__RBG-16-57-9; s__RBG-16-57-9 sp001775965
G001775995	Archaea	 Thermoproteota	 Bathyarchaeia	 RBG-16-48-13	 RBG-16-48-13	 RBG-16-48-13	 RBG-16-48-13 sp001775995	848915	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__RBG-16-48-13; f__RBG-16-48-13; g__RBG-16-48-13; s__RBG-16-48-13 sp001775995
G001776015	Archaea	 Thermoproteota	 Bathyarchaeia	 TCS64	 TCS64	 RBG-16-57-9	 RBG-16-57-9 sp001775965	1524957	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64; f__TCS64; g__RBG-16-57-9; s__RBG-16-57-9 sp001775965
G001776045	Bacteria	 Patescibacteria	 Microgenomatia	 UBA1400	 	 	 	1173697	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__; g__; s__
G001776075	Bacteria	 Patescibacteria	 Microgenomatia	 UBA1400	 CG1-02-47-37	 GWC1-49-16	 GWC1-49-16 sp001029675	1019942	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__CG1-02-47-37; g__GWC1-49-16; s__GWC1-49-16 sp001029675
G001776115	Bacteria	 Patescibacteria	 Microgenomatia	 UBA1400	 CG1-02-47-37	 CG1-02-47-37	 	673376	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__CG1-02-47-37; g__CG1-02-47-37; s__
G001776125	Bacteria	 Patescibacteria	 UBA1384	 2-12-FULL-50-11	 2-12-FULL-50-11	 2-12-FULL-50-11	 2-12-FULL-50-11 sp001774395	709668	d__Bacteria; p__Patescibacteria; c__UBA1384; o__2-12-FULL-50-11; f__2-12-FULL-50-11; g__2-12-FULL-50-11; s__2-12-FULL-50-11 sp001774395
G001776145	Bacteria	 Patescibacteria	 UBA1384	 	 	 	 	677274	d__Bacteria; p__Patescibacteria; c__UBA1384; o__; f__; g__; s__
G001776175	Bacteria	 Patescibacteria	 UBA1384	 2-12-FULL-50-11	 2-12-FULL-50-11	 2-12-FULL-50-11	 2-12-FULL-50-11 sp001774395	813153	d__Bacteria; p__Patescibacteria; c__UBA1384; o__2-12-FULL-50-11; f__2-12-FULL-50-11; g__2-12-FULL-50-11; s__2-12-FULL-50-11 sp001774395
G001776195	Bacteria	 Patescibacteria	 UBA1384	 XYA2-FULL-43-10	 XYA2-FULL-43-10	 XYA2-FULL-43-10	 XYA2-FULL-43-10 sp001776195	961846	d__Bacteria; p__Patescibacteria; c__UBA1384; o__XYA2-FULL-43-10; f__XYA2-FULL-43-10; g__XYA2-FULL-43-10; s__XYA2-FULL-43-10 sp001776195
G001776225	Bacteria	 Patescibacteria	 Microgenomatia	 UBA1400	 MFAQ01	 2-01-FULL-50-23	 	754260	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__MFAQ01; g__2-01-FULL-50-23; s__
G001776275	Bacteria	 Patescibacteria	 Microgenomatia	 UBA1400	 MFAQ01	 MFAQ01	 MFAQ01 sp001776275	811060	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__UBA1400; f__MFAQ01; g__MFAQ01; s__MFAQ01 sp001776275
G001776335	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 2-01-FULL-41-11	 2-01-FULL-41-11 sp001776335	831760	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__2-01-FULL-41-11; s__2-01-FULL-41-11 sp001776335
G001776415	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 MFBN01	 	717784	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__MFBN01; s__
G001776425	Bacteria	 Patescibacteria	 Microgenomatia	 Curtissbacterales	 GWA2-41-24	 MFBN01	 MFBN01 sp001776425	729236	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Curtissbacterales; f__GWA2-41-24; g__MFBN01; s__MFBN01 sp001776425
